name,address,arrondissement,code_insee,annee_scolaire,type,lat,lng
COLETTE MAGNY (15) ELEM,15 COLETTE MAGNY (15) ELEM,19ème Ardt,75119,2026-2027,Elémentaire,48.89490828414763,2.374620279812698
LAVOISIER,17 RUE HENRI BARBUSSE,5ème Ardt,75105,2026-2027,Collège,48.842354560857245,2.3392948014490216
FRANCOISE DORLEAC (8) ELEM B,8 FRANCOISE DORLEAC (8) ELEM B,18ème Ardt,75118,2026-2027,Elémentaire,48.8993899007631,2.337452792317367
SONIA DELAUNAY,14 RUE EURYALE DEHAYNIN,19ème Ardt,75119,2026-2027,Collège,48.88593429740651,2.3781287412764107
EDMOND MICHELET,70 RUE DE L' OURCQ,19ème Ardt,75119,2026-2027,Collège,48.89366655755415,2.376485834379865
PIERRE MENDES FRANCE,24 RUE LE VAU,20ème Ardt,75120,2026-2027,Collège,48.86805832906415,2.411159984926502
AMANDIERS (103-111) ELEM,103 RUE DES AMANDIERS,20ème Ardt,75120,2025-2026,Elémentaire,48.86743831631731,2.388823859761124
MICHEL ANGE (51) ELEM,51 RUE MICHEL ANGE,16ème Ardt,75116,2025-2026,Elémentaire,48.84402438713324,2.261070247176204
PELLEPORT (166) POLY,166 RUE PELLEPORT,20ème Ardt,75120,2025-2026,Polyvalent,48.87336492633465,2.3979874549024034
ST DIDIER (15B) POLY,15 bis RUE SAINT DIDIER,16ème Ardt,75116,2025-2026,Polyvalent,48.86614055402534,2.287603099939645
VICQ D'AZIR (16) POLY,16 RUE VICQ D'AZIR,10ème Ardt,75110,2025-2026,Polyvalent,48.876069592939636,2.3705586931454286
VOLTAIRE (6) MAT,6 CITE VOLTAIRE,11ème Ardt,75111,2025-2026,Maternelle,48.85257530745052,2.3900839755646204
ST LUC (3) MAT,3 RUE SAINT LUC,18ème Ardt,75118,2025-2026,Maternelle,48.88563541815778,2.354178637766867
SURMELIN (18) MAT,18 RUE DU SURMELIN,20ème Ardt,75120,2025-2026,Maternelle,48.86793592440649,2.4031726014336607
OLIVIER METRA (32-34) POLY,32 RUE OLIVIER METRA,20ème Ardt,75120,2025-2026,Polyvalent,48.873298373241624,2.3938520000480055
ALQUIER DEBROUSSE (12) POLY,12 ALLEE ALQUIER DEBROUSSE,20ème Ardt,75120,2025-2026,Polyvalent,48.86126569638179,2.4083763117233428
BELZUNCE (3) POLY,3 RUE DE BELZUNCE,10ème Ardt,75110,2025-2026,Polyvalent,48.87919121558662,2.352834090670799
ST LAMBERT (12) ELEM B,12 RUE SAINT LAMBERT,15ème Ardt,75115,2025-2026,Elémentaire,48.838088826246874,2.2909530840946912
FESSART (4) ELEM,4 RUE FESSART,19ème Ardt,75119,2025-2026,Elémentaire,48.87620483668461,2.3886273989289553
JENNER (40) ELEM A,40 RUE JENNER,13ème Ardt,75113,2025-2026,Elémentaire,48.83560332890016,2.361854828058952
WURTZ (16) ELEM,16 RUE WURTZ,13ème Ardt,75113,2025-2026,Elémentaire,48.82693192147904,2.344618527667761
CUGNOT (30) POLY,30 RUE CUGNOT,18ème Ardt,75118,2025-2026,Polyvalent,48.892715722912946,2.3645871569749612
HERMEL (20) ELEM,20 RUE HERMEL,18ème Ardt,75118,2025-2026,Elémentaire,48.89130095300317,2.3445130809929275
FRANCOIS COPPEE (14) ELEM,14 RUE FRANCOIS COPPEE,15ème Ardt,75115,2025-2026,Elémentaire,48.83987528329247,2.287841502930166
BOULARD (46) ELEM - AGNÈS VARDA,46 RUE BOULARD,14ème Ardt,75114,2025-2026,Elémentaire,48.832662575018674,2.327836191601366
ST BERNARD (31) ELEM,31 RUE SAINT BERNARD,11ème Ardt,75111,2025-2026,Elémentaire,48.85270349257682,2.3808836576778427
BELLEVILLE (236) ELEM,236 RUE DE BELLEVILLE,20ème Ardt,75120,2025-2026,Elémentaire,48.87535879101553,2.3981829889288093
HOPITAL ST LOUIS(5) ELEM,5 RUE DE L HOPITAL ST LOUIS,10ème Ardt,75110,2025-2026,Elémentaire,48.87488150537698,2.365421164172451
FELIX FAURE (56) ELEM,56 AVENUE FELIX FAURE,15ème Ardt,75115,2025-2026,Elémentaire,48.84069866655919,2.2866154944624646
ORAN (18) ELEM,18 RUE D'ORAN,18ème Ardt,75118,2025-2026,Elémentaire,48.88904593860851,2.353029211880464
GENERAL JEAN-SIMON (31) POLY,31 BOULEVARD DU GENERAL JEAN-SIMON,13ème Ardt,75113,2025-2026,Polyvalent,48.826154926567035,2.3835692779153312
GEORGES THILL (11) MAT,11 RUE GEORGES THILL,19ème Ardt,75119,2025-2026,Maternelle,48.886701688305166,2.3888848009898425
EPINETTES (42) ELEM,42 RUE DES EPINETTES,17ème Ardt,75117,2025-2026,Elémentaire,48.89681677443847,2.323889402242462
DOUDEAUVILLE (7) ELEM,7 RUE DOUDEAUVILLE,18ème Ardt,75118,2025-2026,Elémentaire,48.888872046029746,2.3587359522961213
FONDARY (12) ELEM,12 RUE FONDARY,15ème Ardt,75115,2025-2026,Elémentaire,48.848405604867764,2.2922481732760325
TRAVERSIERE (41) MAT,41 RUE TRAVERSIERE,12ème Ardt,75112,2025-2026,Maternelle,48.847630956396955,2.3732439603398956
D'ARTAGNAN (12) MAT,12 RUE D'ARTAGNAN,12ème Ardt,75112,2025-2026,Maternelle,48.84540652764176,2.3867555122192794
EUPATORIA (15) MAT,15 RUE D'EUPATORIA,20ème Ardt,75120,2025-2026,Maternelle,48.86889592379885,2.3873358677106116
