Trimestre;arrondissement;prix_m2
T4 2024;4;12390
T3 2024;4;12290
T2 2024;4;12640
T1 2024;4;13380
T4 2023;4;13080
T3 2023;4;13060
T2 2023;4;13220
T1 2023;4;13920
T4 2022;4;13110
T3 2022;4;13640
T2 2022;4;13210
T1 2022;4;13300
T4 2021;4;12720
T3 2021;4;13710
T2 2021;4;13910
T1 2021;4;13790
T4 2020;4;13710
T3 2020;4;13710
T2 2020;4;13670
T1 2020;4;13060
T4 2019;4;13670
T3 2019;4;13130
T2 2019;4;12990
T1 2019;4;13060
T4 2018;4;13360
T3 2018;4;12750
T2 2018;4;12340
T1 2018;4;11860
T4 2017;4;11540
T3 2017;4;11840
T2 2017;4;11990
T1 2017;4;11630
T4 2016;4;11310
T3 2016;4;11550
T2 2016;4;11300
T1 2016;4;11330
T4 2015;4;11130
T3 2015;4;11520
T2 2015;4;10830
T1 2015;4;10280
T4 2014;4;10730
T3 2014;4;11250
T2 2014;4;11220
T1 2014;4;11070
T4 2013;4;11350
T3 2013;4;11000
T2 2013;4;11620
T1 2013;4;10670
T4 2012;4;11060
T3 2012;4;10980
T2 2012;4;10830
T1 2012;4;11070
T4 2011;4;10280
T3 2011;4;10980
T2 2011;4;11160
T1 2011;4;10220
T4 2010;4;9200
T3 2010;4;9510
T2 2010;4;8490
T1 2010;4;8760
T4 2009;4;8510
T3 2009;4;8350
T2 2009;4;8120
T1 2009;4;8520
T4 2008;4;8900
T3 2008;4;8620
T2 2008;4;8890
T1 2008;4;8290
T4 2007;4;8420
T3 2007;4;8180
T2 2007;4;7750
T1 2007;4;7590
T4 2006;4;7530
T3 2006;4;7760
T2 2006;4;7180
T1 2006;4;7300
T4 2005;4;6890
T3 2005;4;7120
T2 2005;4;6380
T1 2005;4;6370
T4 2004;4;6560
T3 2004;4;5660
T2 2004;4;5880
T1 2004;4;5740
T4 2003;4;5550
T3 2003;4;5320
T2 2003;4;5080
T1 2003;4;5140
T4 2002;4;4950
T3 2002;4;4940
T2 2002;4;4470
T1 2002;4;4660
T4 2001;4;4320
T3 2001;4;4480
T2 2001;4;4010
T1 2001;4;4420
T4 2000;4;4110
T3 2000;4;4290
T2 2000;4;4080
T1 2000;4;4020
T4 1999;4;3560
T3 1999;4;3620
T2 1999;4;3440
T1 1999;4;3350
T4 1998;4;3440
T3 1998;4;3190
T2 1998;4;3050
T1 1998;4;3120
T4 1997;4;3130
T3 1997;4;3030
T2 1997;4;3070
T1 1997;4;2970
T4 1996;4;2960
T3 1996;4;3070
T2 1996;4;3150
