X,Y,OBJECTID,c_ord,arro,qua,xbis,ybis,num,let,typ_voie,lib_voie,seq,sit,type,codact,ens,bio,surf,cc_id,cc_niv,niv47,niv18,niv8,niv2
655050.042900003,6863282.5563,5866,80516,20,79,655046.29425892,6863281.16070332,44,,RUE,MENILMONTANT,2,R,C,CB104,J’M JANAHMARIA,0,1,0,,10301,103,3,1
655105.807700001,6862755.4219,5867,80607,20,79,655105.8077,6862755.4219,7,,PL,AUGUSTE METIVIER,1,R,C,CA103,LE PAIN EN OSMOSE,0,1,0,,10201,102,2,1
655019.880000003,6862813.7961,5868,80622,20,79,655022.29672863,6862810.60871506,62,,BD,MENILMONTANT,2,R,C,CD401,OMANI,0,1,0,,10504,105,3,1
655641.5722,6862014.7701,5869,80946,20,80,655641.5722,6862014.7701,8,,RUE,BAGNOLET,1,R,C,SA202,BEAUTY SHOP,0,1,0,,10802,108,4,1
656292.485699996,6861546.9625,5871,81508,20,80,656296.34631458,6861548.00923545,77,,RUE,AVRON,2,R,C,CH303,TACOS TIME,0,1,0,,11103,111,5,1
655967.8257,6862062.0867,5872,81615,20,80,655967.8257,6862062.0867,92,,RUE,REUNION,1,R,C,CH108,A TABLE,0,1,0,,11101,111,5,1
656389.314300001,6861796.1015,5873,81705,20,80,656390.10424599,6861792.18027757,86,,RUE,PYRENEES,2,R,C,SA201,ALIYAH BARBER SHOP,0,1,0,,10802,108,4,1
656719.944300003,6861658.9943,5875,81811,20,80,656723.80564439,6861660.03833998,147,,RUE,AVRON,2,R,C,CA114,CHEZ PERLA,0,1,0,,10201,102,2,1
656731.358900003,6862052.2932,5876,82023,20,80,656731.3589,6862052.2932,96,,BD,DAVOUT,1,R,C,CC101,CENTRALE DAVOUT SAINT-BLAISE,0,1,0,,10401,104,3,1
656431.910700001,6861237.3279,5878,82098,20,80,656431.56207703,6861241.31267879,29,,RUE,PYRENEES,2,R,C,SA515,LIGUE IDF DES ECHECS,0,1,0,,10804,108,4,1
656600.330200002,6861607.3353,5879,82119,20,80,656600.3302,6861607.3353,126,,RUE,AVRON,1,R,C,CH104,RESTAURANT NUMIDIA,0,1,0,,11101,111,5,1
652614.487300001,6863358.4618,5883,82535,3,9,652613.11069426,6863354.70614338,110,,BD,SEBASTOPOL,2,R,C,SA202,SHIME,0,1,0,,10802,108,4,1
653602.396499999,6861940.6865,5886,82933,4,15,653594.63312194,6861942.6178107,5,,RUE,PAS DE LA MULE,3,R,C,CB109,L’ELEGANCE D’AUTREFOIS,0,1,0,,10301,103,3,1
653572.996399999,6861735.0387,5887,82936,4,15,653573.21480636,6861739.03273288,3,,RUE,TOURNELLES,2,R,C,CH403,BUBAR,0,1,0,,11104,111,5,1
652733.2258,6860130.0229,5888,83172,5,18,652733.2258,6860130.0229,1,,RUE,FER A MOULIN,1,R,C,SA102,SENEL,0,1,0,,10801,108,4,1
650722.059600003,6860739.8772,5889,83350,6,23,650722.0596,6860739.8772,112,,BD,RASPAIL,1,R,C,CB304,ANNE MAISONNEUVE,0,1,0,,10303,103,3,1
651170.966499999,6861584.3664,5890,83470,6,22,651170.9665,6861584.3664,5,,RUE,PRINCESSE,1,R,C,CH403,LE PETIT SAINT GERMAIN,0,1,0,,11104,111,5,1
653207.590899996,6863066.9416,5891,83501,3,10,653210.23300396,6863069.94481272,5,,CITE,DUPETIT THOUARS,2,R,C,CD205,*** NON RENSEIGNE ***,0,1,0,,10502,105,3,1
650039.825900003,6861564.2449,5892,83524,7,25,650039.8259,6861564.2449,37,,RUE,VANEAU,1,R,C,CE302,GALERIE MINSKY,0,1,0,,10603,106,3,1
650299.648400001,6862279.4816,5894,83556,7,26,650299.6484,6862279.4816,1,,PL,JACQUES BAINVILLE,1,R,C,SA201,ELLE & LUI,0,1,0,,10802,108,4,1
650213.277000003,6863342.3763,5895,83626,8,31,650213.277,6863342.3763,11,B,RUE,BOISSY D ANGLAS,1,R,C,CH101,BAR DU FAUBOURG,0,1,0,,11101,111,5,1
650487.087099999,6864105.8788,5896,83644,8,31,650484.26322026,6864098.39376806,14,,PL,GABRIEL PERI,3,R,C,CH101,HIPPOPOTAMUS,0,1,0,,11101,111,5,1
651602.813199997,6864575.6239,5902,83928,9,36,651601.65039163,6864571.79664554,46,,RUE,MARTYRS,2,R,C,CH106,ROSE BAKERY,0,1,0,,11101,111,5,1
651261.542000003,6864820.0345,5903,84040,9,33,651261.542,6864820.0345,10,,RUE,DOUAI,1,R,C,CE401,CENTRALE GUITARS,0,1,0,,10604,106,3,1
654664.777199998,6861956.1416,5909,84654,11,43,654664.7772,6861956.1416,7,,RUE,FRANCOIS DE NEUFCHATEAU,1,R,C,SA104,RETOUCHE PARISIEN,0,1,0,,10801,108,4,1
654695.475599997,6860766.5282,5910,84705,12,48,654695.4756,6860766.5282,5,,RUE,CROZATIER,1,R,C,CE203,LA BICYCLETTE,0,1,0,,10602,106,3,1
654983.1545,6859611.949,5911,84761,12,47,654983.1545,6859611.949,19,,RUE,AUBRAC,1,A,C,SA507,TAGA,0,1,0,,10805,108,4,1
