code_iris,LIBIRIS,GRD_QUART,LIBCOM,population,school_count,schools_per_1000,school_score
751062401,Saint-Germain des Prés 1,7510624.0,Paris 6e Arrondissement,1418.05315772941,6.0,4.231153089921688,25.38782757691898
751114210,Saint-Ambroise 10,7511142.0,Paris 11e Arrondissement,2608.21420586965,17.0,6.517869568282539,39.108617734147536
751114319,Roquette 19,7511143.0,Paris 11e Arrondissement,1676.80324408401,24.0,14.312949408152248,85.88077149864114
751135023,Gare 23,7511350.0,Paris 13e Arrondissement,1599.50850407268,26.0,16.254993289375214,97.53345202224085
751156005,Javel 5,7511560.0,Paris 15e Arrondissement,2650.9314122751,28.0,10.562325328503936,63.37622122208422
751186927,Grandes Carrières 27,7511869.0,Paris 18e Arrondissement,1455.00269984912,21.0,14.432962909400542,86.60087829029835
751208004,Charonne 4,7512080.0,Paris 20e Arrondissement,1650.43739779411,21.0,12.723899754130343,76.34613217690071
751208012,Charonne 12,7512080.0,Paris 20e Arrondissement,2475.63523693919,29.0,11.714165143268374,70.28750757641727
751093402,,,,,0.0,,
751124799,,,,,10.0,,
751020803,Bonne Nouvelle 3,7510208.0,Paris 2e Arrondissement,1508.76932783014,9.0,5.96512656639401,35.79204096935968
751041403,Saint-Gervais 3,7510414.0,Paris 4e Arrondissement,2224.20441857384,18.0,8.092781333265043,48.55842668421249
751062101,Monnaie 1,7510621.0,Paris 6e Arrondissement,1413.21123297066,5.0,3.5380415067107003,21.229009166864344
751093502,Faubourg Montmartre 2,7510935.0,Paris 9e Arrondissement,1886.7888257868,15.0,7.950015282576696,47.70179970766873
751103803,Porte Saint-Denis 3,7511038.0,Paris 10e Arrondissement,2555.75277483017,11.0,4.304015673319948,25.82501873138939
751103908,Porte Saint-Martin 8,7511039.0,Paris 10e Arrondissement,2355.00652852685,18.0,7.643290913193227,45.861387593511246
751124502,Bel-Air 2,7511245.0,Paris 12e Arrondissement,3438.88736958784,11.0,3.1987090060813417,19.192941259573768
751155721,Saint-Lambert 21,7511557.0,Paris 15e Arrondissement,1440.14879994352,13.0,9.026845004148068,54.16300938738316
751166213,Muette 13,7511662.0,Paris 16e Arrondissement,1976.39569708065,5.0,2.5298577645081597,15.179690111532132
751176613,Plaine Monceau 13,7511766.0,Paris 17e Arrondissement,2049.21148554323,4.0,1.9519703203984489,11.712241291287414
751197313,Villette 13,7511973.0,Paris 19e Arrondissement,2493.83352384392,27.0,10.826705047409506,64.96255633588487
751207905,Père Lachaise 5,7512079.0,Paris 20e Arrondissement,4974.33953160984,8.0,1.6082537086910447,9.649867775629085
751208006,Charonne 6,7512080.0,Paris 20e Arrondissement,2413.05094868166,26.0,10.77474141779094,64.65076339410516
751135032,,,,,9.0,,
751010204,Les Halles 4,7510102.0,Paris 1er Arrondissement,1974.95946338737,7.0,3.5443765453260925,21.267020759601035
751062201,Odéon 1,7510622.0,Paris 6e Arrondissement,1566.07078313892,6.0,3.8312444524212563,22.988289833989086
751135204,Croulebarbe 4,7511352.0,Paris 13e Arrondissement,2628.2057877977,19.0,7.229266478376115,43.37715203398846
751197503,Amérique 3,7511975.0,Paris 19e Arrondissement,1650.24692648294,28.0,16.967157793576085,100.0
751207906,Père Lachaise 6,7512079.0,Paris 20e Arrondissement,1795.14282640692,29.0,16.15470344387312,96.93169140256775
751031002,Enfants Rouges 2,7510310.0,Paris 3e Arrondissement,1984.71172375564,15.0,7.55777265809451,45.34825968984436
751176815,Épinettes 15,7511768.0,Paris 17e Arrondissement,1726.77878154352,19.0,11.003146554196377,66.02124328398577
751197606,Combat 6,7511976.0,Paris 19e Arrondissement,1463.18972151656,28.0,19.136274393028604,100.0
751020702,Mail 2,7510207.0,Paris 2e Arrondissement,1650.99393302933,11.0,6.662653193289828,39.977350590068475
